Chromosome	Start	End
NMEL_chr_1	760	800
NMEL_chr_1	9778	9818
NMEL_chr_1	26884	26924
NMEL_chr_1	37045	37085
NMEL_chr_1	38433	38473
NMEL_chr_1	43949	43989
NMEL_chr_1	46468	46508
NMEL_chr_1	50403	50443
NMEL_chr_1	52499	52539
NMEL_chr_1	62482	62522
NMEL_chr_1	77728	77768
NMEL_chr_1	78803	78843
NMEL_chr_1	82701	82741
NMEL_chr_1	93196	93236
NMEL_chr_1	105890	105930
NMEL_chr_1	109994	110034
NMEL_chr_1	119178	119218
NMEL_chr_1	144977	145017
NMEL_chr_1	150592	150632
NMEL_chr_1	177167	177207
NMEL_chr_1	181506	181546
NMEL_chr_1	185568	185608
NMEL_chr_1	192893	192933
NMEL_chr_1	201656	201696
NMEL_chr_1	203806	203846
NMEL_chr_1	206923	206963
NMEL_chr_1	208203	208243
NMEL_chr_1	211562	211602
NMEL_chr_1	213884	213924
NMEL_chr_1	215288	215328
NMEL_chr_1	225246	225286
NMEL_chr_1	247272	247312
NMEL_chr_1	248224	248264
NMEL_chr_1	251475	251515
NMEL_chr_1	255110	255150
NMEL_chr_1	276687	276727
NMEL_chr_1	278743	278783
NMEL_chr_1	279779	279819
NMEL_chr_1	283879	283919
NMEL_chr_1	289003	289043
NMEL_chr_1	291387	291427
NMEL_chr_1	295260	295300
NMEL_chr_1	300072	300112
NMEL_chr_1	312667	312707
NMEL_chr_1	314670	314710
NMEL_chr_1	315905	315945
NMEL_chr_1	323412	323452
NMEL_chr_1	328189	328229
NMEL_chr_1	331261	331301
NMEL_chr_1	344921	344961
NMEL_chr_1	362210	362250
NMEL_chr_1	370887	370927
NMEL_chr_1	372837	372877
NMEL_chr_1	382234	382274
NMEL_chr_1	383927	383967
NMEL_chr_1	384872	384912
NMEL_chr_1	403199	403239
NMEL_chr_1	406450	406490
NMEL_chr_1	416124	416164
NMEL_chr_1	422334	422374
NMEL_chr_1	423850	423890
NMEL_chr_1	425987	426027
NMEL_chr_1	436058	436098
NMEL_chr_1	443970	444010
NMEL_chr_1	451253	451293
NMEL_chr_1	459613	459653
NMEL_chr_1	471587	471627
NMEL_chr_1	482639	482679
NMEL_chr_1	486877	486917
NMEL_chr_1	489056	489096
NMEL_chr_1	491847	491887
NMEL_chr_1	494411	494451
NMEL_chr_1	495567	495607
NMEL_chr_1	498793	498833
NMEL_chr_1	502391	502431
NMEL_chr_1	504741	504781
NMEL_chr_1	514086	514126
NMEL_chr_1	516099	516139
NMEL_chr_1	521308	521348
NMEL_chr_1	524837	524877
NMEL_chr_1	525998	526038
NMEL_chr_1	533997	534037
NMEL_chr_1	545843	545883
NMEL_chr_1	547810	547850
NMEL_chr_1	551285	551325
NMEL_chr_1	554372	554412
NMEL_chr_1	561770	561810
NMEL_chr_1	571711	571751
NMEL_chr_1	573604	573644
NMEL_chr_1	575467	575507
NMEL_chr_1	579278	579318
NMEL_chr_1	586558	586598
NMEL_chr_1	600331	600371
NMEL_chr_1	629770	629810
NMEL_chr_1	685684	685724
NMEL_chr_1	687768	687808
NMEL_chr_1	690882	690922
NMEL_chr_1	693052	693092
NMEL_chr_1	710840	710880
NMEL_chr_1	711882	711922
NMEL_chr_1	714567	714607
NMEL_chr_1	717819	717859
NMEL_chr_1	723199	723239
NMEL_chr_1	728867	728907
NMEL_chr_1	734606	734646
NMEL_chr_1	735987	736027
NMEL_chr_1	743579	743619
NMEL_chr_1	745177	745217
NMEL_chr_1	752457	752497
NMEL_chr_1	759413	759453
NMEL_chr_1	765256	765296
NMEL_chr_1	771935	771975
NMEL_chr_1	775464	775504
NMEL_chr_1	786939	786979
NMEL_chr_1	791102	791142
NMEL_chr_1	795681	795721
NMEL_chr_1	803316	803356
NMEL_chr_1	804696	804736
NMEL_chr_1	809184	809224
NMEL_chr_1	815099	815139
NMEL_chr_1	832633	832673
NMEL_chr_1	835038	835078
NMEL_chr_1	838878	838918
NMEL_chr_1	845739	845779
NMEL_chr_1	848744	848784
NMEL_chr_1	852888	852928
NMEL_chr_1	859327	859367
